ClassName,User Layer,Logic Layer,Data Layer,Non-AI Layer,AI Preprocessing Layer,Model Training & Evaluation Layer,Model Deployment & Monitoring Layer
ASE_Calculator,0,1,0,0,0,1,0
AdaptiveSampling,0,1,0,0,0,1,0
Asparagus,0,1,0,0,0,1,0
BaseModel,0,1,0,0,0,1,0
Configuration,0,0,1,1,0,0,0
CosineCutoff,1,0,0,0,1,0,0
CosineCutoff_range,1,0,0,0,1,0,0
D3_dispersion,0,0,1,0,0,1,0
D3_dispersion,0,0,1,0,0,1,0
DMC,0,1,0,0,0,1,0
DataBase,0,0,1,1,0,0,0
DataBase_SQLite3,0,0,1,1,0,0,0
DataBase_hdf5,0,0,0,1,0,0,0
DataBase_npz,0,0,1,1,0,0,0
DataContainer,0,0,1,0,1,0,0
DataLoader,0,0,1,0,1,0,0
DataReader,0,0,1,0,1,0,0
DataSet,0,0,1,0,1,0,0
DataSubSet,0,0,1,0,1,0,0
DenseLayer,1,0,0,0,0,1,0
Electrostatic_shift,0,1,0,0,0,1,0
EnsembleModel,0,1,0,0,0,1,0
EnsembleTrainer,0,1,0,0,0,1,0
FileManager,0,0,1,1,0,0,0
GaussianRBF,1,0,0,0,0,1,0
GaussianRBF_PhysNet,1,0,0,0,0,1,0
Graph_PaiNN,0,1,0,0,0,1,0
Graph_PhysNet,1,0,0,0,0,1,0
HyperParameterTuning,0,1,0,0,0,1,0
Input_PaiNN,0,1,0,0,1,0,0
Input_PhysNet,0,1,0,0,1,0,0
InteractionBlock,1,0,0,0,0,1,0
InteractionLayer,0,1,0,0,0,1,0
Logger_DMC,0,0,1,1,0,0,0
MCSampler,1,0,0,0,0,1,0
MDP,0,1,0,0,1,0,0
MDSampler,0,1,0,0,0,1,0
MEP,0,1,0,0,1,0,0
MEP_NEB,0,1,0,0,1,0,0
MetaConstraint,0,1,0,0,1,0,0
MetaDynamicLogger,1,0,0,1,0,0,0
MetaSampler,0,1,0,0,0,1,0
Model_PaiNN,0,1,0,0,0,1,0
Model_PhysNet,0,1,0,0,0,1,0
NormalModeSampler,0,1,0,0,0,1,0
NormalModeScanner,0,1,0,0,1,0,0
ORCA,0,1,0,0,1,0,0
OutputBlock,1,0,0,0,0,1,0
Output_PaiNN,0,1,0,0,0,1,0
Output_PhysNet,0,1,0,0,0,1,0
PC_Dipole_damped_electrostatics,0,1,0,0,0,1,0
PC_damped_electrostatics,0,1,0,0,0,1,0
PC_shielded_electrostatics,0,1,0,0,0,1,0
PaiNNGatedEquivarience,0,1,0,0,0,1,0
PaiNNInteraction,1,0,0,0,0,1,0
PaiNNMixing,1,0,0,0,0,1,0
PaiNNOutput_scalar,0,1,0,0,0,1,0
PaiNNOutput_tensor,0,1,0,0,0,1,0
PointChargePotential,1,0,0,0,1,0,0
Poly6Cutoff,0,0,0,0,0,0,0
Poly6Cutoff_range,0,0,0,0,1,0,0
PyCharmm_Calculator,0,1,0,0,0,1,0
ResidualLayer,1,0,0,0,0,1,0
Sampler,0,1,0,0,1,0,0
ShellCalculator,0,1,0,0,0,1,0
SlurmCalculator,0,1,0,0,0,1,0
TagReplacement,1,0,0,0,1,0,0
Tester,0,1,0,0,0,1,0
TorchNeighborListRangeSeparated,0,1,0,0,1,0,0
TorchNeighborListRangeSeparatedFragments,0,1,0,0,1,0,0
Trainer,0,1,0,0,0,1,0
Vibrations_Asparagus,0,1,0,0,1,0,0
ZBL_repulsion,0,1,0,0,0,1,0
