ClassName,User Layer,Logic Layer,Data Layer,Non-AI Layer,AI Preprocessing Layer,Model Training & Evaluation Layer,Model Deployment & Monitoring Layer
ACArray,0,0,1,1,0,0,0
ACTrieNode,0,0,1,0,1,0,0
ACTrieTree,0,0,1,0,1,0,0
AddressExtractor,0,1,0,0,1,0,0
BinaryRelation,0,0,1,0,1,0,0
BinaryRelationDetector,1,0,0,0,0,1,0
CharEditDistance,0,1,0,0,1,0,0
CharacterUtil,0,1,0,0,1,0,0
CilinDictionary,1,0,0,0,1,0,0
CilinSimilarity,0,1,0,0,1,0,0
ClearDataUtil,0,0,1,0,1,0,0
Constants,0,1,0,0,1,0,0
CoreWordDict,0,0,1,0,1,0,0
CorpusUtil,0,0,1,0,1,0,0
CrfInfoExtractor,0,1,0,0,0,0,1
DAGModel,0,1,0,0,1,0,0
DataReader,0,0,1,0,1,0,0
DataWriter,0,0,1,1,0,0,0
DictSegment,0,1,0,0,1,0,0
Dijkstra,0,1,0,1,0,0,0
DoubleArrayTrie,1,0,0,0,1,0,0
Edge,0,0,1,1,0,0,0
EditBlock,1,0,0,0,1,0,0
EntityMention,1,0,0,0,1,0,0
EntityMentionVector,0,0,1,1,0,0,0
GlossaryParser,1,0,0,0,1,0,0
Graph,0,0,1,1,0,0,0
HMMModel,0,1,0,0,0,1,0
HMMPredictor,1,0,0,0,0,0,1
HMMTrainer,1,0,0,0,0,1,0
Haffman,0,1,0,0,1,0,0
HiddenNeuron,1,0,0,1,0,0,0
HotWordExtractor,1,0,0,0,1,0,0
HownetGlossary,0,1,0,0,1,0,0
HownetSememe,0,0,1,0,1,0,0
HownetSememeSimilarity,0,1,0,0,1,0,0
HownetSimilarity,0,1,0,0,1,0,0
IdiomDict,0,0,1,0,1,0,0
IndexUtil,0,0,1,0,1,0,0
KMeansCluster,1,0,0,0,0,1,0
LuceneIDF,1,0,0,0,1,0,0
LuceneMemoryIDF,0,1,0,0,1,0,0
MDAG,0,0,1,0,1,0,0
MDAGNode,0,0,1,0,1,0,0
MapCount,0,0,1,1,0,0,0
MemoryIndexUtil,0,0,1,0,1,0,0
MitieEntityExtractor,0,1,0,0,0,1,0
NameDict,0,0,1,0,1,0,0
NamedEntityExtractor,0,1,0,0,0,1,0
NerTrainer,0,1,0,0,0,1,0
NerTrainingInstance,0,1,0,0,1,0,0
Neuron,0,1,0,0,1,0,0
NormalIDF,0,1,0,0,1,0,0
ObjectExtractor,0,1,0,0,1,0,0
ObjectUtil,0,0,1,1,0,0,0
OrganizationDict,0,0,1,0,1,0,0
PinyinDict,0,0,1,0,1,0,0
PinyinSimilarity,0,1,0,0,1,0,0
PinyinUtil,0,1,0,0,1,0,0
PlacenameDict,0,0,1,0,1,0,0
Result,0,0,1,1,0,0,0
RuleBasedSegment,0,1,0,0,1,0,0
SDPair,1,0,0,1,0,0,0
SVMTrainer,0,1,0,0,0,1,0
SWIGTYPE_p_mitie__binary_relation,1,0,0,1,0,0,0
Segment,0,1,0,0,1,0,0
SegmentFile,1,0,0,0,1,0,0
Sememe,1,0,0,1,0,0,0
SememeParser,1,0,0,0,1,0,0
SentenceSimilarity,0,1,0,0,1,0,0
SequenceUtil,0,0,1,1,0,0,0
SimpleMDAGNode,0,0,1,1,0,0,0
SizeException,0,1,0,1,0,0,0
StandardEditDistance,0,1,0,0,1,0,0
StringUtil,0,1,0,1,0,0,0
StringVector,0,0,1,0,1,0,0
Synonym,0,1,0,0,1,0,0
SynonymUtil,0,0,1,0,1,0,0
Term,0,1,0,0,1,0,0
TextCategorizer,1,0,0,0,0,1,0
TextCategorizerTrainer,0,1,0,0,0,1,0
TextIndexer,0,0,1,0,1,0,0
TokenIndexPair,0,0,1,0,1,0,0
TokenIndexVector,0,0,1,0,1,0,0
TraditionalDict,0,0,1,0,1,0,0
UnicodeReader,0,0,1,0,1,0,0
VSMCluster,0,1,0,0,0,1,0
VectorUtil,0,0,1,0,1,0,0
Vertex,0,0,1,1,0,0,0
ViterbiDecoder,0,1,0,0,0,1,0
Word2Vec,0,1,0,0,1,0,0
Word2VecTrainer,0,1,0,0,1,0,0
WordEntry,0,0,1,1,0,0,0
WordLiteralValueSimilarity,1,0,0,0,1,0,0
WordNeuron,0,1,0,0,1,0,0
WordPopularityScore,0,1,0,0,1,0,0
WordSegmentUtil,0,1,0,0,1,0,0
WordSentimentTendency,0,1,0,0,1,0,0
XMeansCluster,1,0,0,0,0,1,0
global,0,0,1,0,1,0,0
globalJNI,0,0,1,0,0,1,0
